Chromosome	TADborder	p53_inactive	p53_active_1h	p53_active_4h	p53_active_7h	p53_active_10h	p53_active_24h	individual_TADstate.p53_inactive	individual_TADstate.p53_active_1h	individual_TADstate.p53_active_4h	individual_TADstate.p53_active_7h	individual_TADstate.p53_active_10h	individual_TADstate.p53_active_24h	Category_tads
2770	chr8	 80950000	10	 0	 0	 0	 0	 0	TAD	NoTAD	NoTAD	NoTAD	NoTAD	NoTAD	TAD-NoTAD-NoTAD-NoTAD-NoTAD-NoTAD
2771	chr3	 80950000	 0	 0	 0	 0	 8	 0	NoTAD	NoTAD	NoTAD	NoTAD	TAD	NoTAD	NoTAD-NoTAD-NoTAD-NoTAD-TAD-NoTAD
2772	chr9	 80950000	10	10	 9	 9	10	10	TAD	TAD	TAD	TAD	TAD	TAD	TAD-TAD-TAD-TAD-TAD-TAD
2773	chr16	 81000000	10	10	10	10	10	10	TAD	TAD	TAD	TAD	TAD	TAD	TAD-TAD-TAD-TAD-TAD-TAD
2774	chr7	 81100000	10	10	10	10	10	 0	TAD	TAD	TAD	TAD	TAD	NoTAD	TAD-TAD-TAD-TAD-TAD-NoTAD
2775	chr10	 81104687	 6	 5	 5	 8	10	 7	TAD	TAD	TAD	TAD	TAD	TAD	TAD-TAD-TAD-TAD-TAD-TAD
2776	chr2	 81121875	 9	10	10	10	10	 0	TAD	TAD	TAD	TAD	TAD	NoTAD	TAD-TAD-TAD-TAD-TAD-NoTAD
2777	chrX	 81125000	 5	 0	 0	 0	 5	 0	TAD	NoTAD	NoTAD	NoTAD	TAD	NoTAD	TAD-NoTAD-NoTAD-NoTAD-TAD-NoTAD
2778	chr4	 81250000	10	10	10	10	10	 0	TAD	TAD	TAD	TAD	TAD	NoTAD	TAD-TAD-TAD-TAD-TAD-NoTAD
2779	chr9	 81300000	 6	 0	 0	 0	 0	 0	TAD	NoTAD	NoTAD	NoTAD	NoTAD	NoTAD	TAD-NoTAD-NoTAD-NoTAD-NoTAD-NoTAD
2780	chr15	 81300000	 0	 0	 0	 6	10	 6	NoTAD	NoTAD	NoTAD	TAD	TAD	TAD	NoTAD-NoTAD-NoTAD-TAD-TAD-TAD
2781	chr3	 81450000	 0	 0	 0	 0	10	 0	NoTAD	NoTAD	NoTAD	NoTAD	TAD	NoTAD	NoTAD-NoTAD-NoTAD-NoTAD-TAD-NoTAD
2782	chr8	 81500000	10	 0	 0	 0	 0	 0	TAD	NoTAD	NoTAD	NoTAD	NoTAD	NoTAD	TAD-NoTAD-NoTAD-NoTAD-NoTAD-NoTAD
2783	chr5	 81567187	10	 7	 5	 9	10	 8	TAD	TAD	TAD	TAD	TAD	TAD	TAD-TAD-TAD-TAD-TAD-TAD
2784	chr13	 81575000	 8	 7	 8	10	 8	 6	TAD	TAD	TAD	TAD	TAD	TAD	TAD-TAD-TAD-TAD-TAD-TAD
2785	chr15	 81631250	 5	 6	 8	 6	 5	 5	TAD	TAD	TAD	TAD	TAD	TAD	TAD-TAD-TAD-TAD-TAD-TAD
2786	chr7	 81650000	10	 0	 0	 0	10	 0	TAD	NoTAD	NoTAD	NoTAD	TAD	NoTAD	TAD-NoTAD-NoTAD-NoTAD-TAD-NoTAD
2787	chr12	 81800000	10	 6	 6	 9	10	10	TAD	TAD	TAD	TAD	TAD	TAD	TAD-TAD-TAD-TAD-TAD-TAD
2788	chr3	 81850000	 0	 0	 0	 0	 8	 0	NoTAD	NoTAD	NoTAD	NoTAD	TAD	NoTAD	NoTAD-NoTAD-NoTAD-NoTAD-TAD-NoTAD
2789	chr9	 81868750	 9	10	 6	10	 8	 0	TAD	TAD	TAD	TAD	TAD	NoTAD	TAD-TAD-TAD-TAD-TAD-NoTAD
2790	chr8	 81900000	10	 0	 0	 0	 0	 0	TAD	NoTAD	NoTAD	NoTAD	NoTAD	NoTAD	TAD-NoTAD-NoTAD-NoTAD-NoTAD-NoTAD
2791	chr16	 81950000	10	 8	 7	 7	10	10	TAD	TAD	TAD	TAD	TAD	TAD	TAD-TAD-TAD-TAD-TAD-TAD
2792	chr4	 81996875	 6	 9	10	10	10	 0	TAD	TAD	TAD	TAD	TAD	NoTAD	TAD-TAD-TAD-TAD-TAD-NoTAD
2793	chr12	 82000000	10	 8	 8	 9	10	 0	TAD	TAD	TAD	TAD	TAD	NoTAD	TAD-TAD-TAD-TAD-TAD-NoTAD
2794	chr14	 82000000	10	10	10	10	10	10	TAD	TAD	TAD	TAD	TAD	TAD	TAD-TAD-TAD-TAD-TAD-TAD
2795	chr10	 82050000	10	10	10	10	10	10	TAD	TAD	TAD	TAD	TAD	TAD	TAD-TAD-TAD-TAD-TAD-TAD
2796	chr3	 82150000	 0	 0	 0	 0	 5	 0	NoTAD	NoTAD	NoTAD	NoTAD	TAD	NoTAD	NoTAD-NoTAD-NoTAD-NoTAD-TAD-NoTAD
2797	chr8	 82150000	10	 0	 0	 0	 0	 0	TAD	NoTAD	NoTAD	NoTAD	NoTAD	NoTAD	TAD-NoTAD-NoTAD-NoTAD-NoTAD-NoTAD
2798	chr16	 82275000	10	10	10	10	10	10	TAD	TAD	TAD	TAD	TAD	TAD	TAD-TAD-TAD-TAD-TAD-TAD
2799	chr4	 82300000	10	10	10	10	10	10	TAD	TAD	TAD	TAD	TAD	TAD	TAD-TAD-TAD-TAD-TAD-TAD
2800	chr10	 82393750	10	 6	 5	 8	10	 0	TAD	TAD	TAD	TAD	TAD	NoTAD	TAD-TAD-TAD-TAD-TAD-NoTAD
2801	chr7	 82400000	10	10	10	10	10	 0	TAD	TAD	TAD	TAD	TAD	NoTAD	TAD-TAD-TAD-TAD-TAD-NoTAD
2802	chr11	 82400000	10	10	10	10	10	10	TAD	TAD	TAD	TAD	TAD	TAD	TAD-TAD-TAD-TAD-TAD-TAD
2803	chr3	 82500000	 0	 0	 0	 0	 6	 0	NoTAD	NoTAD	NoTAD	NoTAD	TAD	NoTAD	NoTAD-NoTAD-NoTAD-NoTAD-TAD-NoTAD
2804	chr12	 82500000	 0	 0	 0	 0	 0	10	NoTAD	NoTAD	NoTAD	NoTAD	NoTAD	TAD	NoTAD-NoTAD-NoTAD-NoTAD-NoTAD-TAD
2805	chr15	 82575000	10	10	10	10	10	10	TAD	TAD	TAD	TAD	TAD	TAD	TAD-TAD-TAD-TAD-TAD-TAD
2806	chr8	 82600000	10	10	10	10	10	10	TAD	TAD	TAD	TAD	TAD	TAD	TAD-TAD-TAD-TAD-TAD-TAD
2807	chr7	 82710937	 9	 4	 5	 8	10	 8	TAD	NoTAD	TAD	TAD	TAD	TAD	TAD-NoTAD-TAD-TAD-TAD-TAD
2808	chr12	 82750000	10	10	10	10	10	10	TAD	TAD	TAD	TAD	TAD	TAD	TAD-TAD-TAD-TAD-TAD-TAD
2809	chr8	 82850000	10	10	10	10	10	10	TAD	TAD	TAD	TAD	TAD	TAD	TAD-TAD-TAD-TAD-TAD-TAD
2810	chr5	 82925000	10	10	10	10	10	10	TAD	TAD	TAD	TAD	TAD	TAD	TAD-TAD-TAD-TAD-TAD-TAD
2811	chr6	 82950000	10	10	10	10	10	10	TAD	TAD	TAD	TAD	TAD	TAD	TAD-TAD-TAD-TAD-TAD-TAD
2812	chr7	 83000000	10	 0	 0	 0	10	 0	TAD	NoTAD	NoTAD	NoTAD	TAD	NoTAD	TAD-NoTAD-NoTAD-NoTAD-TAD-NoTAD
2813	chr7	 83150000	 0	 8	 6	 8	 0	10	NoTAD	TAD	TAD	TAD	NoTAD	TAD	NoTAD-TAD-TAD-TAD-NoTAD-TAD
2814	chrX	 83162500	 7	 9	10	 8	10	 0	TAD	TAD	TAD	TAD	TAD	NoTAD	TAD-TAD-TAD-TAD-TAD-NoTAD
2815	chr4	 83250000	 8	10	10	10	10	10	TAD	TAD	TAD	TAD	TAD	TAD	TAD-TAD-TAD-TAD-TAD-TAD
2816	chr2	 83350000	10	 0	 0	 0	 6	 0	TAD	NoTAD	NoTAD	NoTAD	TAD	NoTAD	TAD-NoTAD-NoTAD-NoTAD-TAD-NoTAD
2817	chrX	 83465625	 6	 6	 3	 7	 6	 0	TAD	TAD	NoTAD	TAD	TAD	NoTAD	TAD-TAD-NoTAD-TAD-TAD-NoTAD
2818	chr7	 83500000	 8	 8	 9	 6	10	 0	TAD	TAD	TAD	TAD	TAD	NoTAD	TAD-TAD-TAD-TAD-TAD-NoTAD
2819	chr11	 83550000	10	10	10	10	10	10	TAD	TAD	TAD	TAD	TAD	TAD	TAD-TAD-TAD-TAD-TAD-TAD
2820	chr15	 83693750	10	 0	 7	10	 5	10	TAD	NoTAD	TAD	TAD	TAD	TAD	TAD-NoTAD-TAD-TAD-TAD-TAD
2821	chrX	 83750000	 8	 0	 0	 0	 7	 0	TAD	NoTAD	NoTAD	NoTAD	TAD	NoTAD	TAD-NoTAD-NoTAD-NoTAD-TAD-NoTAD
2822	chr6	 83798437	10	10	10	 9	 6	 9	TAD	TAD	TAD	TAD	TAD	TAD	TAD-TAD-TAD-TAD-TAD-TAD
2823	chr15	 83850000	10	 6	 0	 0	 0	 0	TAD	TAD	NoTAD	NoTAD	NoTAD	NoTAD	TAD-TAD-NoTAD-NoTAD-NoTAD-NoTAD
2824	chr4	 83950000	 5	 0	 0	 0	 0	 0	TAD	NoTAD	NoTAD	NoTAD	NoTAD	NoTAD	TAD-NoTAD-NoTAD-NoTAD-NoTAD-NoTAD
2825	chr16	 83950000	10	10	10	10	10	10	TAD	TAD	TAD	TAD	TAD	TAD	TAD-TAD-TAD-TAD-TAD-TAD
2826	chrX	 84059375	 5	 4	 5	 2	 4	 0	TAD	NoTAD	TAD	NoTAD	NoTAD	NoTAD	TAD-NoTAD-TAD-NoTAD-NoTAD-NoTAD
2827	chr15	 84150000	10	 0	 0	 0	 5	 0	TAD	NoTAD	NoTAD	NoTAD	TAD	NoTAD	TAD-NoTAD-NoTAD-NoTAD-TAD-NoTAD
2828	chr4	 84237500	 5	 0	 0	 0	 7	 4	TAD	NoTAD	NoTAD	NoTAD	TAD	NoTAD	TAD-NoTAD-NoTAD-NoTAD-TAD-NoTAD
2829	chr6	 84300000	10	10	10	10	10	10	TAD	TAD	TAD	TAD	TAD	TAD	TAD-TAD-TAD-TAD-TAD-TAD
2830	chrX	 84340625	10	 5	 4	 7	10	 0	TAD	TAD	NoTAD	TAD	TAD	NoTAD	TAD-TAD-NoTAD-TAD-TAD-NoTAD
2831	chr1	 84350000	10	10	10	10	10	10	TAD	TAD	TAD	TAD	TAD	TAD	TAD-TAD-TAD-TAD-TAD-TAD
2832	chr11	 84378125	 7	 9	 7	 7	 5	 6	TAD	TAD	TAD	TAD	TAD	TAD	TAD-TAD-TAD-TAD-TAD-TAD
2833	chr4	 84550000	10	10	10	10	10	10	TAD	TAD	TAD	TAD	TAD	TAD	TAD-TAD-TAD-TAD-TAD-TAD
2834	chr6	 84550000	10	 0	 0	 0	 0	 0	TAD	NoTAD	NoTAD	NoTAD	NoTAD	NoTAD	TAD-NoTAD-NoTAD-NoTAD-NoTAD-NoTAD
2835	chr7	 84650000	10	10	10	10	10	 0	TAD	TAD	TAD	TAD	TAD	NoTAD	TAD-TAD-TAD-TAD-TAD-NoTAD
2836	chr16	 84650000	 7	 0	 0	 0	 0	 0	TAD	NoTAD	NoTAD	NoTAD	NoTAD	NoTAD	TAD-NoTAD-NoTAD-NoTAD-NoTAD-NoTAD
2837	chr2	 84675000	10	10	10	10	10	 7	TAD	TAD	TAD	TAD	TAD	TAD	TAD-TAD-TAD-TAD-TAD-TAD
2838	chr15	 84775000	 0	 0	 0	 0	 5	10	NoTAD	NoTAD	NoTAD	NoTAD	TAD	TAD	NoTAD-NoTAD-NoTAD-NoTAD-TAD-TAD
2839	chrX	 84850000	 8	 8	 8	 8	10	 0	TAD	TAD	TAD	TAD	TAD	NoTAD	TAD-TAD-TAD-TAD-TAD-NoTAD
2840	chr15	 84900000	 7	10	10	10	 0	 0	TAD	TAD	TAD	TAD	NoTAD	NoTAD	TAD-TAD-TAD-TAD-NoTAD-NoTAD
2841	chr6	 84950000	10	 0	 0	 0	 0	 0	TAD	NoTAD	NoTAD	NoTAD	NoTAD	NoTAD	TAD-NoTAD-NoTAD-NoTAD-NoTAD-NoTAD
2842	chr16	 85073437	 7	 8	10	10	10	10	TAD	TAD	TAD	TAD	TAD	TAD	TAD-TAD-TAD-TAD-TAD-TAD
2843	chr2	 85148437	 5	 8	 9	10	10	10	TAD	TAD	TAD	TAD	TAD	TAD	TAD-TAD-TAD-TAD-TAD-TAD
2844	chrX	 85150000	 5	 7	 7	10	 6	 0	TAD	TAD	TAD	TAD	TAD	NoTAD	TAD-TAD-TAD-TAD-TAD-NoTAD
2845	chr1	 85250000	10	10	 0	10	10	 0	TAD	TAD	NoTAD	TAD	TAD	NoTAD	TAD-TAD-NoTAD-TAD-TAD-NoTAD
2846	chr12	 85275000	10	10	10	10	10	 5	TAD	TAD	TAD	TAD	TAD	TAD	TAD-TAD-TAD-TAD-TAD-TAD
2847	chr11	 85300000	10	10	10	10	10	10	TAD	TAD	TAD	TAD	TAD	TAD	TAD-TAD-TAD-TAD-TAD-TAD
2848	chr1	 85400000	 0	 0	10	 0	 0	10	NoTAD	NoTAD	TAD	NoTAD	NoTAD	TAD	NoTAD-NoTAD-TAD-NoTAD-NoTAD-TAD
2849	chr13	 85400000	10	 9	10	10	10	 8	TAD	TAD	TAD	TAD	TAD	TAD	TAD-TAD-TAD-TAD-TAD-TAD
2850	chrX	 85400000	 5	 7	 7	10	 6	 0	TAD	TAD	TAD	TAD	TAD	NoTAD	TAD-TAD-TAD-TAD-TAD-NoTAD
2851	chr4	 85484375	10	 6	 7	 7	10	10	TAD	TAD	TAD	TAD	TAD	TAD	TAD-TAD-TAD-TAD-TAD-TAD
2852	chr7	 85500000	10	10	10	10	10	 0	TAD	TAD	TAD	TAD	TAD	NoTAD	TAD-TAD-TAD-TAD-TAD-NoTAD
2853	chr12	 85500000	10	 5	 0	 8	10	 0	TAD	TAD	NoTAD	TAD	TAD	NoTAD	TAD-TAD-NoTAD-TAD-TAD-NoTAD
2854	chr8	 85550000	10	 0	 0	 0	10	 0	TAD	NoTAD	NoTAD	NoTAD	TAD	NoTAD	TAD-NoTAD-NoTAD-NoTAD-TAD-NoTAD
2855	chr2	 85551562	 8	 8	10	10	 6	10	TAD	TAD	TAD	TAD	TAD	TAD	TAD-TAD-TAD-TAD-TAD-TAD
2856	chr12	 85650000	 0	 0	 4	 0	 0	 0	NoTAD	NoTAD	NoTAD	NoTAD	NoTAD	NoTAD	NoTAD-NoTAD-NoTAD-NoTAD-NoTAD-NoTAD
2857	chr15	 85725000	10	10	 8	10	10	10	TAD	TAD	TAD	TAD	TAD	TAD	TAD-TAD-TAD-TAD-TAD-TAD
2858	chr1	 85750000	10	10	10	10	10	10	TAD	TAD	TAD	TAD	TAD	TAD	TAD-TAD-TAD-TAD-TAD-TAD
2859	chr16	 85800000	 8	 7	 6	 9	10	10	TAD	TAD	TAD	TAD	TAD	TAD	TAD-TAD-TAD-TAD-TAD-TAD
2860	chr9	 85801562	10	 5	 7	10	10	 8	TAD	TAD	TAD	TAD	TAD	TAD	TAD-TAD-TAD-TAD-TAD-TAD
2861	chr12	 85837500	10	 5	 0	 6	10	 0	TAD	TAD	NoTAD	TAD	TAD	NoTAD	TAD-TAD-NoTAD-TAD-TAD-NoTAD
2862	chr2	 85850000	10	10	10	10	10	10	TAD	TAD	TAD	TAD	TAD	TAD	TAD-TAD-TAD-TAD-TAD-TAD
2863	chr10	 85889062	 5	 9	10	10	10	10	TAD	TAD	TAD	TAD	TAD	TAD	TAD-TAD-TAD-TAD-TAD-TAD
2864	chrX	 85900000	 0	 0	 7	 6	 0	 0	NoTAD	NoTAD	TAD	TAD	NoTAD	NoTAD	NoTAD-NoTAD-TAD-TAD-NoTAD-NoTAD
2865	chr4	 85903125	10	 4	 4	 7	 6	10	TAD	NoTAD	NoTAD	TAD	TAD	TAD	TAD-NoTAD-NoTAD-TAD-TAD-TAD
2866	chr8	 85950000	10	10	10	 8	 9	 8	TAD	TAD	TAD	TAD	TAD	TAD	TAD-TAD-TAD-TAD-TAD-TAD
2867	chr16	 86050000	 8	 7	 6	 0	10	 9	TAD	TAD	TAD	NoTAD	TAD	TAD	TAD-TAD-TAD-NoTAD-TAD-TAD
2868	chr6	 86050000	10	10	10	10	10	10	TAD	TAD	TAD	TAD	TAD	TAD	TAD-TAD-TAD-TAD-TAD-TAD
2869	chr12	 86050000	 0	10	 6	 0	 0	 0	NoTAD	TAD	TAD	NoTAD	NoTAD	NoTAD	NoTAD-TAD-TAD-NoTAD-NoTAD-NoTAD
2870	chrX	 86150000	 0	 7	 0	 0	 0	 0	NoTAD	TAD	NoTAD	NoTAD	NoTAD	NoTAD	NoTAD-TAD-NoTAD-NoTAD-NoTAD-NoTAD
2871	chr7	 86150000	 5	 0	 0	 0	 0	 0	TAD	NoTAD	NoTAD	NoTAD	NoTAD	NoTAD	TAD-NoTAD-NoTAD-NoTAD-NoTAD-NoTAD
2872	chr11	 86150000	10	10	 8	 0	 0	 0	TAD	TAD	TAD	NoTAD	NoTAD	NoTAD	TAD-TAD-TAD-NoTAD-NoTAD-NoTAD
2873	chr8	 86200000	10	 0	 0	 0	 9	 0	TAD	NoTAD	NoTAD	NoTAD	TAD	NoTAD	TAD-NoTAD-NoTAD-NoTAD-TAD-NoTAD
2874	chr1	 86200000	 0	 0	 0	 0	 0	10	NoTAD	NoTAD	NoTAD	NoTAD	NoTAD	TAD	NoTAD-NoTAD-NoTAD-NoTAD-NoTAD-TAD
2875	chr9	 86245312	 9	 8	10	 7	10	10	TAD	TAD	TAD	TAD	TAD	TAD	TAD-TAD-TAD-TAD-TAD-TAD
2876	chr15	 86250000	 0	 0	 0	 0	 0	 8	NoTAD	NoTAD	NoTAD	NoTAD	NoTAD	TAD	NoTAD-NoTAD-NoTAD-NoTAD-NoTAD-TAD
2877	chr12	 86300000	10	10	10	10	10	 0	TAD	TAD	TAD	TAD	TAD	NoTAD	TAD-TAD-TAD-TAD-TAD-NoTAD
2878	chrX	 86300000	 7	 0	 0	 0	 8	 0	TAD	NoTAD	NoTAD	NoTAD	TAD	NoTAD	TAD-NoTAD-NoTAD-NoTAD-TAD-NoTAD
2879	chr10	 86325000	10	 9	 7	10	10	10	TAD	TAD	TAD	TAD	TAD	TAD	TAD-TAD-TAD-TAD-TAD-TAD
2880	chr5	 86348437	10	 8	 7	10	10	10	TAD	TAD	TAD	TAD	TAD	TAD	TAD-TAD-TAD-TAD-TAD-TAD
2881	chr6	 86375000	 9	10	10	10	10	10	TAD	TAD	TAD	TAD	TAD	TAD	TAD-TAD-TAD-TAD-TAD-TAD
2882	chr15	 86400000	10	10	10	10	10	 0	TAD	TAD	TAD	TAD	TAD	NoTAD	TAD-TAD-TAD-TAD-TAD-NoTAD
2883	chr2	 86400000	10	10	10	10	10	10	TAD	TAD	TAD	TAD	TAD	TAD	TAD-TAD-TAD-TAD-TAD-TAD
2884	chr13	 86450000	10	 8	10	10	10	 0	TAD	TAD	TAD	TAD	TAD	NoTAD	TAD-TAD-TAD-TAD-TAD-NoTAD
2885	chr7	 86500000	 9	 8	 8	10	10	10	TAD	TAD	TAD	TAD	TAD	TAD	TAD-TAD-TAD-TAD-TAD-TAD
2886	chr9	 86550000	10	 0	 0	 0	10	 8	TAD	NoTAD	NoTAD	NoTAD	TAD	TAD	TAD-NoTAD-NoTAD-NoTAD-TAD-TAD
2887	chr16	 86600000	10	10	10	10	10	10	TAD	TAD	TAD	TAD	TAD	TAD	TAD-TAD-TAD-TAD-TAD-TAD
2888	chr11	 86625000	10	10	10	10	10	 9	TAD	TAD	TAD	TAD	TAD	TAD	TAD-TAD-TAD-TAD-TAD-TAD
2889	chr5	 86700000	10	10	10	10	10	10	TAD	TAD	TAD	TAD	TAD	TAD	TAD-TAD-TAD-TAD-TAD-TAD
2890	chr13	 86750000	10	10	10	10	 0	 0	TAD	TAD	TAD	TAD	NoTAD	NoTAD	TAD-TAD-TAD-TAD-NoTAD-NoTAD
2891	chr1	 86800000	10	10	10	10	10	10	TAD	TAD	TAD	TAD	TAD	TAD	TAD-TAD-TAD-TAD-TAD-TAD
2892	chr7	 86875000	 9	 8	 7	10	10	 8	TAD	TAD	TAD	TAD	TAD	TAD	TAD-TAD-TAD-TAD-TAD-TAD
2893	chr3	 86900000	 0	 0	 0	 0	 8	 0	NoTAD	NoTAD	NoTAD	NoTAD	TAD	NoTAD	NoTAD-NoTAD-NoTAD-NoTAD-TAD-NoTAD
2894	chr9	 86950000	10	 7	10	10	10	10	TAD	TAD	TAD	TAD	TAD	TAD	TAD-TAD-TAD-TAD-TAD-TAD
2895	chr16	 87000000	10	 0	 0	 0	10	 9	TAD	NoTAD	NoTAD	NoTAD	TAD	TAD	TAD-NoTAD-NoTAD-NoTAD-TAD-TAD
2896	chr11	 87025000	10	10	10	10	10	 9	TAD	TAD	TAD	TAD	TAD	TAD	TAD-TAD-TAD-TAD-TAD-TAD
2897	chr4	 87048437	 6	 7	 5	 8	 6	 8	TAD	TAD	TAD	TAD	TAD	TAD	TAD-TAD-TAD-TAD-TAD-TAD
2898	chr2	 87050000	10	 7	 6	 8	 8	 5	TAD	TAD	TAD	TAD	TAD	TAD	TAD-TAD-TAD-TAD-TAD-TAD
2899	chr8	 87100000	10	 0	 0	 0	 9	 0	TAD	NoTAD	NoTAD	NoTAD	TAD	NoTAD	TAD-NoTAD-NoTAD-NoTAD-TAD-NoTAD
2900	chr1	 87250000	10	 8	 8	 8	10	 9	TAD	TAD	TAD	TAD	TAD	TAD	TAD-TAD-TAD-TAD-TAD-TAD
2901	chr3	 87250000	 0	 0	 0	 0	10	 0	NoTAD	NoTAD	NoTAD	NoTAD	TAD	NoTAD	NoTAD-NoTAD-NoTAD-NoTAD-TAD-NoTAD
2902	chr16	 87350000	 7	10	 8	10	 7	10	TAD	TAD	TAD	TAD	TAD	TAD	TAD-TAD-TAD-TAD-TAD-TAD
2903	chr5	 87350000	 0	 8	 0	 0	 8	10	NoTAD	TAD	NoTAD	NoTAD	TAD	TAD	NoTAD-TAD-NoTAD-NoTAD-TAD-TAD
2904	chr4	 87376562	 7	 6	 8	 8	 8	 7	TAD	TAD	TAD	TAD	TAD	TAD	TAD-TAD-TAD-TAD-TAD-TAD
2905	chr8	 87400000	10	 0	 0	 0	 0	 7	TAD	NoTAD	NoTAD	NoTAD	NoTAD	TAD	TAD-NoTAD-NoTAD-NoTAD-NoTAD-TAD
2906	chr2	 87450000	 8	 0	 0	 0	 0	 0	TAD	NoTAD	NoTAD	NoTAD	NoTAD	NoTAD	TAD-NoTAD-NoTAD-NoTAD-NoTAD-NoTAD
2907	chr1	 87550000	10	10	10	10	10	10	TAD	TAD	TAD	TAD	TAD	TAD	TAD-TAD-TAD-TAD-TAD-TAD
2908	chr8	 87626562	10	10	10	10	10	 7	TAD	TAD	TAD	TAD	TAD	TAD	TAD-TAD-TAD-TAD-TAD-TAD
2909	chr16	 87700000	 5	 0	 0	 5	 8	 0	TAD	NoTAD	NoTAD	TAD	TAD	NoTAD	TAD-NoTAD-NoTAD-TAD-TAD-NoTAD
2910	chr6	 87750000	10	10	10	10	10	10	TAD	TAD	TAD	TAD	TAD	TAD	TAD-TAD-TAD-TAD-TAD-TAD
2911	chr4	 87800000	10	 9	 8	10	10	10	TAD	TAD	TAD	TAD	TAD	TAD	TAD-TAD-TAD-TAD-TAD-TAD
2912	chr7	 87850000	10	10	10	10	10	 8	TAD	TAD	TAD	TAD	TAD	TAD	TAD-TAD-TAD-TAD-TAD-TAD
2913	chr16	 87900000	 8	 8	 9	 7	10	 7	TAD	TAD	TAD	TAD	TAD	TAD	TAD-TAD-TAD-TAD-TAD-TAD
2914	chr5	 88000000	10	10	10	10	10	10	TAD	TAD	TAD	TAD	TAD	TAD	TAD-TAD-TAD-TAD-TAD-TAD
2915	chr4	 88053125	10	 8	 5	 6	10	 6	TAD	TAD	TAD	TAD	TAD	TAD	TAD-TAD-TAD-TAD-TAD-TAD
2916	chr10	 88150000	10	10	10	10	10	10	TAD	TAD	TAD	TAD	TAD	TAD	TAD-TAD-TAD-TAD-TAD-TAD
2917	chr9	 88150000	 0	 6	 0	 0	 0	 0	NoTAD	TAD	NoTAD	NoTAD	NoTAD	NoTAD	NoTAD-TAD-NoTAD-NoTAD-NoTAD-NoTAD
2918	chr2	 88200000	 6	 0	 0	 0	 0	 0	TAD	NoTAD	NoTAD	NoTAD	NoTAD	NoTAD	TAD-NoTAD-NoTAD-NoTAD-NoTAD-NoTAD
2919	chr3	 88250000	 0	 0	 0	 0	10	 0	NoTAD	NoTAD	NoTAD	NoTAD	TAD	NoTAD	NoTAD-NoTAD-NoTAD-NoTAD-TAD-NoTAD
2920	chr2	 88306250	 0	 7	10	 9	10	 0	NoTAD	TAD	TAD	TAD	TAD	NoTAD	NoTAD-TAD-TAD-TAD-TAD-NoTAD
2921	chr16	 88350000	 7	 0	 0	 0	 0	 0	TAD	NoTAD	NoTAD	NoTAD	NoTAD	NoTAD	TAD-NoTAD-NoTAD-NoTAD-NoTAD-NoTAD
2922	chr9	 88400000	10	10	10	10	10	10	TAD	TAD	TAD	TAD	TAD	TAD	TAD-TAD-TAD-TAD-TAD-TAD
2923	chr10	 88450000	 6	 0	 0	 0	 0	 0	TAD	NoTAD	NoTAD	NoTAD	NoTAD	NoTAD	TAD-NoTAD-NoTAD-NoTAD-NoTAD-NoTAD
2924	chr12	 88475000	 6	10	 8	10	10	 9	TAD	TAD	TAD	TAD	TAD	TAD	TAD-TAD-TAD-TAD-TAD-TAD
2925	chr2	 88600000	 9	 7	 0	 0	 7	 0	TAD	TAD	NoTAD	NoTAD	TAD	NoTAD	TAD-TAD-NoTAD-NoTAD-TAD-NoTAD
2926	chrX	 88600000	10	 0	 0	 0	 8	 0	TAD	NoTAD	NoTAD	NoTAD	TAD	NoTAD	TAD-NoTAD-NoTAD-NoTAD-TAD-NoTAD
2927	chr14	 88625000	10	 8	10	10	 9	 5	TAD	TAD	TAD	TAD	TAD	TAD	TAD-TAD-TAD-TAD-TAD-TAD
2928	chr16	 88675000	 5	 6	 7	 9	 4	 0	TAD	TAD	TAD	TAD	NoTAD	NoTAD	TAD-TAD-TAD-TAD-NoTAD-NoTAD
2929	chr8	 88700000	 5	 0	 0	 0	 0	 0	TAD	NoTAD	NoTAD	NoTAD	NoTAD	NoTAD	TAD-NoTAD-NoTAD-NoTAD-NoTAD-NoTAD
2930	chr10	 88700000	 6	 0	 0	 0	 0	 0	TAD	NoTAD	NoTAD	NoTAD	NoTAD	NoTAD	TAD-NoTAD-NoTAD-NoTAD-NoTAD-NoTAD
2931	chr12	 88700000	10	 0	 0	 7	10	 0	TAD	NoTAD	NoTAD	TAD	TAD	NoTAD	TAD-NoTAD-NoTAD-TAD-TAD-NoTAD
2932	chr11	 88793750	10	 0	10	10	10	 0	TAD	NoTAD	TAD	TAD	TAD	NoTAD	TAD-NoTAD-TAD-TAD-TAD-NoTAD
2933	chr15	 88850000	 0	 0	 0	 0	 0	10	NoTAD	NoTAD	NoTAD	NoTAD	NoTAD	TAD	NoTAD-NoTAD-NoTAD-NoTAD-NoTAD-TAD
2934	chr14	 88900000	 9	 8	10	10	10	10	TAD	TAD	TAD	TAD	TAD	TAD	TAD-TAD-TAD-TAD-TAD-TAD
2935	chr12	 88925000	10	10	 8	 9	10	10	TAD	TAD	TAD	TAD	TAD	TAD	TAD-TAD-TAD-TAD-TAD-TAD
2936	chr8	 88950000	 6	 0	 0	 0	 0	 0	TAD	NoTAD	NoTAD	NoTAD	NoTAD	NoTAD	TAD-NoTAD-NoTAD-NoTAD-NoTAD-NoTAD
